AB,AVG,BB,G,H,HR,OBP,PLAYER,R,RBI,SB,SLG,SO,TEAM
8,.125,0,2,1,0,.125,Anthony Santander,0,0,0,.125,2,BAL
24,.083,2,6,2,0,.154,Austin Wells,0,2,0,.083,10,NYY
7,.000,2,2,0,0,.222,Gunnar Henderson,0,0,0,.000,4,BAL
13,.077,1,4,1,0,.143,Alec Bohm,0,0,0,.077,0,PHI
13,.077,0,4,1,0,.077,Brandon Marsh,0,0,0,.077,3,PHI
7,.000,1,2,0,0,.125,Kyle Tucker,0,0,0,.000,2,HOU
9,.000,0,3,0,0,.100,Rhys Hoskins,0,1,0,.000,3,MIL
8,.000,0,2,0,0,.000,Ramón Laureano,0,0,0,.000,4,ATL
7,.000,0,2,0,0,.000,Ryan Mountcastle,0,0,0,.000,4,BAL
11,.000,0,3,0,0,.000,Joey Ortiz,0,0,0,.000,2,MIL
6,.000,0,2,0,0,.000,Gio Urshela,0,0,0,.000,2,ATL
